Per-transcript fragment count rank correlation: rho=0.991194, p=0
Transcript	Length		p-value		rho
ENST00000380394	1387		6.17045e-236		0.734986
ENST00000558401	1715		4.01098e-197		0.638586
ENST00000496634	5064		2.21019e-191		0.39756
ENST00000558815	616		5.6539e-173		0.849887
ENST00000394332	625		6.0092e-166		0.837881
ENST00000401695	1599		1.42317e-163		0.609965
ENST00000260379	919		1.00366e-160		0.740928
ENST00000316084	1526		2.46352e-159		0.614814
ENST00000531188	2097		1.06474e-157		0.538046
ENST00000409028	998		1.71153e-131		0.670901
ENST00000311528	2211		4.38865e-131		0.485433
ENST00000273550	1229		7.15156e-128		0.613304
ENST00000586686	1082		1.9983e-124		0.637428
ENST00000009530	981		5.45876e-123		0.658491
ENST00000358708	931		5.67804e-122		0.669263
ENST00000457540	1044		3.27574e-119		0.635563
ENST00000414273	1543		2.45978e-114		0.533718
ENST00000582471	3087		3.56957e-100		0.368973
ENST00000519807	1826		5.67656e-99		0.465746
ENST00000409170	562		2.63976e-93		0.726497
ENST00000307961	2767		7.85565e-93		0.374463
ENST00000429711	2117		5.69235e-90		0.417282
ENST00000390323	462		7.21204e-85		0.750761
ENST00000536099	374		4.30617e-84		0.798746
ENST00000361739	684		3.27364e-83		0.649536
ENST00000417088	380		5.48013e-83		0.791913
ENST00000439860	923		4.96857e-82		0.57408
ENST00000409960	1032		8.82068e-80		0.541779
ENST00000266610	670		1.59046e-78		0.640138
ENST00000262306	582		7.39062e-78		0.672533
