Per-transcript fragment count rank correlation: rho=0.985661, p=0
Transcript	Length		p-value		rho
ENST00000380394	1387		1.9556e-240		0.739613
ENST00000496634	5064		3.55498e-219		0.42315
ENST00000394332	625		5.56857e-167		0.839232
ENST00000273550	1229		8.73956e-158		0.665071
ENST00000558815	616		1.0581e-152		0.822642
ENST00000531188	2097		2.30123e-147		0.522674
ENST00000316084	1526		2.54955e-136		0.577281
ENST00000260379	919		8.41928e-132		0.691767
ENST00000307961	2767		1.12811e-119		0.421597
ENST00000354667	3664		1.3781e-119		0.370497
ENST00000318607	3485		5.27931e-119		0.378327
ENST00000409028	998		3.96409e-115		0.637923
ENST00000519807	1826		1.06531e-110		0.489614
ENST00000358708	931		1.25751e-109		0.642746
ENST00000414273	1543		1.14501e-108		0.522167
ENST00000457540	1044		2.97168e-108		0.611889
ENST00000009530	981		7.9035e-105		0.619012
ENST00000313899	3033		1.7984e-103		0.377741
ENST00000582471	3087		1.30277e-101		0.371469
ENST00000390323	462		1.1194e-100		0.792104
ENST00000361739	684		2.20569e-100		0.696479
ENST00000543796	2661		5.3128e-98		0.391137
ENST00000536099	374		5.59544e-94		0.824404
ENST00000373316	4887		4.78539e-93		0.286602
ENST00000261182	5202		6.8103e-93		0.277916
ENST00000558401	1715		3.06621e-92		0.463879
ENST00000376281	2928		1.33278e-91		0.362448
ENST00000586686	1082		1.51578e-91		0.563131
ENST00000247655	666		1.28569e-90		0.677416
ENST00000390547	1110		4.38499e-89		0.55084
