Per-transcript fragment count rank correlation: rho=0.989021, p=0
Transcript	Length		p-value		rho
ENST00000496634	5064		2.57202e-263		0.459721
ENST00000395792	2484		6.14831e-262		0.618285
ENST00000380394	1387		1.92042e-231		0.730266
ENST00000318607	3485		3.9451e-200		0.479771
ENST00000354785	8905		5.52255e-199		0.311025
ENST00000273550	1229		2.51242e-185		0.70501
ENST00000394332	625		2.03162e-181		0.856869
ENST00000302053	3678		2.77304e-180		0.447107
ENST00000409678	2324		8.75202e-180		0.544792
ENST00000367976	2339		9.75354e-176		0.538117
ENST00000402744	2421		1.04965e-172		0.526432
ENST00000264613	4676		5.17111e-172		0.392454
ENST00000253122	3763		3.21031e-171		0.432316
ENST00000375078	2336		1.36885e-168		0.528968
ENST00000216832	3576		1.43415e-157		0.425908
ENST00000357430	5679		7.634e-149		0.334865
ENST00000261182	5202		2.01074e-143		0.342855
ENST00000414273	1543		9.3766e-138		0.57717
ENST00000341267	1700		3.65042e-136		0.551973
ENST00000402696	2968		2.44003e-135		0.432152
ENST00000248444	6531		1.51342e-134		0.29853
ENST00000440909	3144		1.96786e-133		0.41831
ENST00000543796	2661		3.06064e-130		0.44599
ENST00000316084	1526		1.04537e-128		0.563701
ENST00000253024	2959		2.00578e-128		0.42247
ENST00000361970	3431		2.6005e-128		0.394734
ENST00000409028	998		2.73966e-128		0.664764
ENST00000378565	1876		1.59977e-126		0.513131
ENST00000304043	1081		4.33551e-121		0.630954
ENST00000457540	1044		9.06158e-121		0.638768
