Per-transcript fragment count rank correlation: rho=0.992429, p=0
Transcript	Length		p-value		rho
ENST00000380394	1387		2.10674e-247		0.746589
ENST00000361970	3431		4.98735e-227		0.510414
ENST00000496634	5064		2.18988e-208		0.413479
ENST00000394332	625		4.60754e-194		0.87059
ENST00000558815	616		4.85315e-165		0.839817
ENST00000401695	1599		3.468e-155		0.597246
ENST00000260379	919		1.73012e-152		0.727974
ENST00000531188	2097		6.23854e-147		0.522012
ENST00000457540	1044		2.03234e-141		0.677934
ENST00000395792	2484		3.46461e-138		0.472233
ENST00000409028	998		4.72488e-137		0.681209
ENST00000311528	2211		2.10058e-133		0.489211
ENST00000316084	1526		4.283e-130		0.566224
ENST00000586686	1082		1.37358e-120		0.62971
ENST00000414273	1543		2.39342e-119		0.543571
ENST00000371464	1068		8.24493e-113		0.616498
ENST00000427721	1136		1.36152e-111		0.599059
ENST00000273550	1229		7.26472e-108		0.572336
ENST00000328078	2333		8.41039e-107		0.432189
ENST00000558401	1715		1.74632e-106		0.494584
ENST00000361335	297		4.36854e-105		0.894386
ENST00000318052	1386		2.27566e-103		0.534799
ENST00000336098	1659		2.96395e-102		0.49286
ENST00000469257	2330		5.74245e-102		0.423328
ENST00000429711	2117		1.04235e-101		0.441498
ENST00000248444	6531		1.20521e-98		0.256521
ENST00000548900	599		2.99661e-96		0.718608
ENST00000296051	4665		1.80063e-94		0.295231
ENST00000258424	712		8.24236e-94		0.669654
ENST00000420826	1463		5.39926e-92		0.496726
