Per-transcript fragment count rank correlation: rho=0.987719, p=0
Transcript	Length		p-value		rho
FBtr0086738	3090		1.74677e-186		0.49013
FBtr0114192	1944		1.67167e-178		0.584494
FBtr0082369	846		2.57351e-164		0.766268
FBtr0073145	4296		6.39596e-164		0.398991
FBtr0100888	1325		1.61929e-161		0.652437
FBtr0074027	864		2.18024e-140		0.722619
FBtr0088007	756		1.51077e-134		0.744697
FBtr0100663	1928		8.49656e-129		0.511099
FBtr0079233	1315		1.21032e-127		0.59669
FBtr0076479	637		7.64753e-117		0.751582
FBtr0080524	813		7.47859e-114		0.685413
FBtr0082344	1030		2.23124e-113		0.626482
FBtr0072924	1118		3.10414e-108		0.595472
FBtr0072174	729		4.01453e-105		0.692329
FBtr0075839	458		1.10557e-103		0.801045
FBtr0074731	743		6.48029e-103		0.682337
FBtr0084932	846		2.82868e-100		0.644
FBtr0114268	6026		1.0783e-99		0.26807
FBtr0073608	3220		6.62415e-98		0.357881
FBtr0070982	1065		8.38209e-98		0.582572
FBtr0087575	726		1.07739e-97		0.675012
FBtr0083060	2339		7.69675e-97		0.412623
FBtr0078769	680		1.16839e-91		0.675159
FBtr0081931	4932		2.45707e-89		0.279715
FBtr0085961	649		6.13499e-88		0.676262
FBtr0086152	2978		2.88651e-87		0.351373
FBtr0078705	742		3.45193e-86		0.638409
FBtr0087592	1502		2.28182e-83		0.469942
FBtr0084410	903		4.45028e-83		0.582268
FBtr0088036	2048		1.20149e-81		0.404912
