Per-transcript fragment count rank correlation: rho=0.994364, p=0
Transcript	Length		p-value		rho
ENSMUST00000082223	2045		4.58553e-248		0.65219
ENSMUST00000090779	2956		1.85982e-210		0.526439
ENSMUST00000084806	14072		5.61584e-207		0.25455
ENSMUST00000020640	1447		4.09634e-189		0.669898
ENSMUST00000176760	2427		1.31996e-178		0.533482
ENSMUST00000077037	2868		9.80438e-177		0.494466
ENSMUST00000176742	2831		1.36784e-171		0.490855
ENSMUST00000121455	2257		2.49321e-167		0.534987
ENSMUST00000081204	2169		5.42656e-165		0.540756
ENSMUST00000073950	2111		1.38715e-152		0.529047
ENSMUST00000163460	1178		6.9327e-148		0.659395
ENSMUST00000087714	776		3.42996e-147		0.760324
ENSMUST00000018246	736		7.42065e-147		0.772424
ENSMUST00000170136	705		1.14179e-145		0.780676
ENSMUST00000105107	836		5.81823e-145		0.738578
ENSMUST00000051522	1392		5.87134e-142		0.608822
ENSMUST00000119417	2191		2.8978e-140		0.50208
ENSMUST00000179460	1335		1.77043e-135		0.607502
ENSMUST00000127405	1042		1.62866e-134		0.665957
ENSMUST00000091749	2121		2.20681e-134		0.499712
ENSMUST00000103146	1059		1.47343e-131		0.656469
ENSMUST00000079464	2053		1.81185e-131		0.50195
ENSMUST00000180288	1256		3.54408e-131		0.614298
ENSMUST00000105105	1249		6.60132e-129		0.611388
ENSMUST00000122404	1354		4.58662e-128		0.590544
ENSMUST00000041466	2492		1.13139e-127		0.455112
ENSMUST00000080300	683		1.86323e-127		0.756005
ENSMUST00000102977	537		3.06869e-127		0.812063
ENSMUST00000074072	459		3.449e-127		0.846488
ENSMUST00000093207	554		2.59425e-126		0.803256
