Per-transcript fragment count rank correlation: rho=0.990768, p=0
Transcript	Length		p-value		rho
ENSMUST00000090779	2956		0		0.676481
ENSMUST00000045301	3821		0		0.586604
ENSMUST00000082223	2045		4.79638e-317		0.712784
ENSMUST00000020637	3779		2.30332e-313		0.561771
ENSMUST00000007980	2678		2.42424e-305		0.637442
ENSMUST00000060077	3186		9.16863e-300		0.591269
ENSMUST00000155998	8030		2.37954e-290		0.390222
ENSMUST00000172812	6982		2.24321e-284		0.412042
ENSMUST00000028607	6169		5.72272e-280		0.432699
ENSMUST00000100206	6523		7.20916e-280		0.421867
ENSMUST00000166984	6491		1.8655e-272		0.417657
ENSMUST00000052838	10231		1.08782e-271		0.337923
ENSMUST00000042990	6685		5.46579e-270		0.410388
ENSMUST00000114459	4086		5.84583e-269		0.509569
ENSMUST00000017851	3683		9.32905e-269		0.532403
ENSMUST00000077037	2868		1.40101e-263		0.585509
ENSMUST00000005003	3551		8.33876e-249		0.523197
ENSMUST00000164309	3422		9.24009e-249		0.531415
ENSMUST00000033609	4502		1.23409e-242		0.46693
ENSMUST00000001566	2644		3.35739e-242		0.584586
ENSMUST00000020640	1447		1.38081e-235		0.724289
ENSMUST00000019615	2456		4.89577e-231		0.590772
ENSMUST00000177363	3215		9.5534e-229		0.526458
ENSMUST00000116371	8766		6.13855e-228		0.33436
ENSMUST00000022529	3225		5.28347e-225		0.522066
ENSMUST00000037748	3878		7.18995e-225		0.48204
ENSMUST00000177796	1825		8.42715e-225		0.655753
ENSMUST00000060805	5105		2.02438e-221		0.423575
ENSMUST00000005292	1500		4.8253e-220		0.698603
ENSMUST00000032998	1908		1.47207e-219		0.639096
