Per-transcript fragment count rank correlation: rho=0.975514, p=0
Transcript	Length		p-value		rho
FBtr0100888	1325		3.05156e-237		0.747436
FBtr0082369	846		3.38091e-195		0.806934
FBtr0082344	1030		7.26272e-167		0.72235
FBtr0085919	1530		1.98389e-166		0.624806
FBtr0086738	3090		1.22712e-162		0.46125
FBtr0074027	864		1.36514e-153		0.744775
FBtr0088007	756		7.74403e-151		0.772476
FBtr0076479	637		8.91766e-148		0.807612
FBtr0100663	1928		7.83149e-147		0.540706
FBtr0300946	2384		3.88724e-146		0.492852
FBtr0307493	6668		1.59415e-137		0.298736
FBtr0089746	2223		2.29688e-137		0.494394
FBtr0074808	6610		9.3383e-130		0.291647
FBtr0074731	743		1.14284e-125		0.732098
FBtr0082347	715		2.86472e-125		0.740674
FBtr0080524	813		1.06366e-121		0.702046
FBtr0114192	1944		4.9227e-120		0.493811
FBtr0086152	2978		2.29626e-119		0.407254
FBtr0077714	1008		1.06116e-116		0.638848
FBtr0079233	1315		1.38479e-115		0.57294
FBtr0071006	2753		7.00993e-114		0.413003
FBtr0307058	3215		5.06192e-113		0.383293
FBtr0084932	846		1.16031e-112		0.673
FBtr0081689	1097		1.12532e-111		0.607591
FBtr0085196	951		1.44181e-109		0.637432
FBtr0100575	4564		1.57696e-106		0.316229
FBtr0078769	680		6.61646e-105		0.708937
FBtr0072924	1118		1.5313e-102		0.58247
FBtr0072174	729		1.31214e-101		0.683825
FBtr0100477	3499		3.3428e-98		0.344725
