Per-transcript fragment count rank correlation: rho=0.994712, p=0
Transcript	Length		p-value		rho
FBtr0082369	846		2.79828e-158		0.757203
FBtr0076479	637		1.89845e-129		0.776433
FBtr0082344	1030		1.03568e-124		0.65001
FBtr0088007	756		6.30085e-117		0.709948
FBtr0082347	715		2.78252e-112		0.713548
FBtr0074027	864		5.2101e-109		0.659614
FBtr0078769	680		3.41245e-90		0.671122
FBtr0100231	313		1.2578e-88		0.850128
FBtr0084932	846		7.08724e-88		0.611431
FBtr0085961	649		9.23145e-86		0.669977
FBtr0082980	553		1.39294e-84		0.705933
FBtr0074731	743		2.24937e-83		0.629848
FBtr0072174	729		2.27421e-82		0.631465
FBtr0080524	813		5.56157e-80		0.597965
FBtr0086989	518		1.03073e-75		0.694219
FBtr0079546	454		4.85931e-75		0.724433
FBtr0076425	706		2.13164e-72		0.607369
FBtr0085196	951		2.92481e-71		0.534135
FBtr0087575	726		6.1378e-69		0.588755
FBtr0085062	910		3.82774e-68		0.533739
FBtr0085450	607		1.63048e-67		0.626584
FBtr0072924	1118		3.77589e-67		0.485408
FBtr0072725	972		2.44973e-66		0.512937
FBtr0114277	951		5.74425e-66		0.516485
FBtr0114192	1944		2.61634e-65		0.37325
FBtr0072185	289		8.38183e-65		0.797001
FBtr0071935	645		8.898e-65		0.601731
FBtr0077058	513		1.12447e-64		0.656932
FBtr0079016	508		8.86968e-64		0.655824
FBtr0114281	507		9.94575e-63		0.652134
