Per-transcript fragment count rank correlation: rho=0.992761, p=0
Transcript	Length		p-value		rho
ENST00000586686	1082		0		0.893006
ENST00000231061	3701		0		0.665177
ENST00000392514	1218		0		0.893378
ENST00000314138	4916		0		0.704237
ENST00000316403	3080		0		0.72985
ENST00000473595	2845		0		0.71489
ENST00000519807	1826		0		0.842994
ENST00000406925	4777		0		0.510122
ENST00000309311	3157		0		0.861944
ENST00000401695	1599		0		0.868397
ENST00000440692	2814		0		0.846377
ENST00000534336	8708		0		0.699131
ENST00000509187	1126		0		0.894825
ENST00000533626	7540		0		0.549185
ENST00000450451	3127		0		0.805467
ENST00000440909	3144		0		0.788331
ENST00000370355	5362		0		0.561779
ENST00000225655	1291		0		0.877402
ENST00000551509	7061		0		0.516943
ENST00000501122	22743		0		0.689814
ENST00000394670	13781		0		0.331237
ENST00000361899	681		0		0.973965
ENST00000526148	4001		0		0.577897
ENST00000396651	881		0		0.928543
ENST00000273550	1229		0		0.877748
ENST00000391975	6372		0		0.530784
ENST00000291568	2163		0		0.739232
ENST00000318607	3485		0		0.788748
ENST00000449131	4267		0		0.779199
ENST00000398411	2095		0		0.787463
