Per-transcript fragment count rank correlation: rho=0.991244, p=0
Transcript	Length		p-value		rho
ENST00000231061	3701		0		0.630856
ENST00000392514	1218		0		0.878406
ENST00000314138	4916		0		0.69556
ENST00000316403	3080		0		0.700542
ENST00000473595	2845		0		0.757846
ENST00000519807	1826		0		0.842547
ENST00000309311	3157		0		0.842687
ENST00000401695	1599		0		0.871491
ENST00000440692	2814		0		0.838078
ENST00000534336	8708		0		0.667076
ENST00000533626	7540		0		0.531801
ENST00000450451	3127		0		0.75033
ENST00000440909	3144		0		0.775562
ENST00000370355	5362		0		0.530045
ENST00000225655	1291		0		0.874183
ENST00000551509	7061		0		0.454721
ENST00000501122	22743		0		0.666
ENST00000361899	681		0		0.969024
ENST00000396651	881		0		0.910939
ENST00000273550	1229		0		0.858669
ENST00000391975	6372		0		0.491669
ENST00000291568	2163		0		0.704696
ENST00000318607	3485		0		0.761756
ENST00000449131	4267		0		0.773758
ENST00000398411	2095		0		0.746983
ENST00000316292	4441		0		0.891987
ENST00000451531	7020		0		0.603579
ENST00000334701	3510		0		0.687353
ENST00000462138	3010		0		0.685783
ENST00000434045	1583		0		0.783346
