Per-transcript fragment count rank correlation: rho=0.992539, p=0
Transcript	Length		p-value		rho
ENST00000586686	1082		0		0.90523
ENST00000231061	3701		0		0.649355
ENST00000392514	1218		0		0.898243
ENST00000314138	4916		0		0.716805
ENST00000316403	3080		0		0.720645
ENST00000473595	2845		0		0.751058
ENST00000519807	1826		0		0.838704
ENST00000406925	4777		0		0.521054
ENST00000309311	3157		0		0.861277
ENST00000401695	1599		0		0.873878
ENST00000440692	2814		0		0.860255
ENST00000534336	8708		0		0.697838
ENST00000533626	7540		0		0.554979
ENST00000440909	3144		0		0.785268
ENST00000370355	5362		0		0.563128
ENST00000225655	1291		0		0.883144
ENST00000551509	7061		0		0.487935
ENST00000501122	22743		0		0.680259
ENST00000394670	13781		0		0.358794
ENST00000361899	681		0		0.973259
ENST00000342160	14796		0		0.332048
ENST00000526148	4001		0		0.567954
ENST00000396651	881		0		0.927588
ENST00000273550	1229		0		0.876585
ENST00000391975	6372		0		0.521838
ENST00000318607	3485		0		0.773956
ENST00000449131	4267		0		0.785442
ENST00000398411	2095		0		0.798814
ENST00000316292	4441		0		0.892989
ENST00000300289	3727		0		0.576248
