Per-transcript fragment count rank correlation: rho=0.967749, p=0
Transcript	Length		p-value		rho
ENSMUST00000166836	3028		0		0.644607
ENSMUST00000118928	1365		4.74678e-202		0.700641
ENSMUST00000026220	3470		1.36835e-183		0.462593
ENSMUST00000084767	1881		1.49679e-175		0.588293
ENSMUST00000032216	1149		3.8348e-174		0.706109
ENSMUST00000118517	552		7.19968e-158		0.853561
ENSMUST00000058856	3306		6.62267e-154		0.436534
ENSMUST00000172146	1242		2.52756e-147		0.645515
ENSMUST00000078419	552		2.17475e-134		0.818319
ENSMUST00000130054	1994		4.22226e-134		0.512692
ENSMUST00000178644	4402		3.08926e-128		0.351553
ENSMUST00000178743	1224		3.38258e-127		0.612994
ENSMUST00000091776	1858		2.87539e-125		0.513028
ENSMUST00000140326	5815		9.48924e-125		0.304185
ENSMUST00000053865	1595		1.06415e-124		0.54616
ENSMUST00000126662	2037		4.72684e-124		0.490965
ENSMUST00000170255	1590		1.69309e-119		0.537062
ENSMUST00000117219	1545		6.71746e-116		0.536535
ENSMUST00000032927	1400		5.08093e-109		0.544781
ENSMUST00000041466	2492		6.82607e-107		0.41966
ENSMUST00000044694	764		1.34869e-103		0.677128
ENSMUST00000075774	1922		4.65631e-101		0.4596
ENSMUST00000022322	3269		6.38028e-100		0.35883
ENSMUST00000029124	1299		1.07617e-96		0.534098
ENSMUST00000029837	2737		7.93199e-96		0.382042
ENSMUST00000122177	720		2.89826e-94		0.668114
ENSMUST00000082408	681		1.47522e-93		0.679932
ENSMUST00000134229	3423		3.53023e-90		0.334346
ENSMUST00000100526	2355		7.24775e-89		0.395177
ENSMUST00000008036	495		1.42626e-88		0.744562
