Per-transcript fragment count rank correlation: rho=0.992411, p=0
Transcript	Length		p-value		rho
ENST00000558401	1715		1.34447e-191		0.631615
ENST00000380394	1387		7.56695e-165		0.646305
ENST00000457540	1044		3.07411e-150		0.692989
ENST00000394332	625		8.93365e-145		0.807223
ENST00000427721	1136		7.28436e-129		0.634224
ENST00000292079	571		2.62882e-113		0.770379
ENST00000414273	1543		2.5176e-112		0.529672
ENST00000361335	297		2.48322e-106		0.896535
ENST00000361227	346		6.38497e-106		0.866672
ENST00000401695	1599		1.04483e-105		0.508131
ENST00000374855	2451		9.64053e-96		0.401768
ENST00000316084	1526		1.39372e-92		0.48909
ENST00000514057	681		2.00189e-91		0.674157
ENST00000496634	5064		1.03914e-90		0.278264
ENST00000260379	919		1.1554e-90		0.59923
ENST00000558815	616		3.15599e-88		0.689938
ENST00000261336	4610		3.90276e-87		0.285412
ENST00000295666	1427		3.42618e-86		0.487837
ENST00000258424	712		3.43046e-85		0.645586
ENST00000361739	684		1.24601e-82		0.64779
ENST00000503537	1389		7.74103e-78		0.471612
ENST00000262306	582		1.49545e-74		0.661638
ENST00000416718	547		2.89116e-74		0.675931
ENST00000273550	1229		1.08501e-73		0.48554
ENST00000427426	682		1.14068e-71		0.613197
ENST00000281589	3090		1.37313e-71		0.313822
ENST00000531188	2097		2.48188e-71		0.375822
ENST00000409028	998		5.21977e-71		0.522526
ENST00000413500	411		6.89703e-70		0.73103
ENST00000557395	1234		5.02389e-69		0.470628
