Per-transcript fragment count rank correlation: rho=0.981376, p=0
Transcript	Length		p-value		rho
ENST00000273550	1229		2.45539e-173		0.68841
ENST00000380394	1387		2.16862e-159		0.638012
ENST00000457540	1044		1.31284e-149		0.691943
ENST00000414273	1543		6.91503e-148		0.594131
ENST00000394332	625		8.38577e-139		0.797432
ENST00000427721	1136		3.787e-135		0.645974
ENST00000440909	3144		2.03517e-132		0.416842
ENST00000496634	5064		9.99888e-123		0.322278
ENST00000292079	571		1.06095e-113		0.771217
ENST00000367816	2608		9.5456e-108		0.412589
ENST00000361227	346		4.86616e-107		0.8688
ENST00000371100	3480		7.15735e-105		0.356609
ENST00000361335	297		7.18769e-104		0.892241
ENST00000302509	2251		3.45115e-98		0.422567
ENST00000269593	2200		8.82837e-98		0.426153
ENST00000514057	681		2.44848e-97		0.689851
ENST00000558401	1715		9.38645e-94		0.467295
ENST00000361739	684		3.07603e-92		0.675294
ENST00000374855	2451		6.63324e-92		0.394154
ENST00000295666	1427		8.83602e-90		0.496741
ENST00000304043	1081		6.03981e-87		0.551227
ENST00000582471	3087		1.16717e-84		0.340509
ENST00000316084	1526		2.75071e-84		0.468978
ENST00000449131	4267		3.8004e-83		0.289463
ENST00000267884	1077		6.07593e-82		0.538296
ENST00000354667	3664		2.64052e-80		0.306061
ENST00000247655	666		1.06732e-79		0.645297
ENST00000427426	682		2.70907e-79		0.638234
ENST00000361681	525		2.30538e-77		0.696334
ENST00000264335	2211		4.77067e-76		0.378035
