Per-transcript fragment count rank correlation: rho=0.985507, p=0
Transcript	Length		p-value		rho
ENSMUST00000053015	1673		6.57881e-152		0.581431
ENSMUST00000077037	2868		1.96527e-151		0.46172
ENSMUST00000087328	2926		8.40107e-118		0.40804
ENSMUST00000020640	1447		1.8738e-115		0.550542
ENSMUST00000085679	3105		2.24602e-114		0.391669
ENSMUST00000150350	1034		6.31599e-114		0.626729
ENSMUST00000025563	866		3.17844e-113		0.668499
ENSMUST00000092404	1899		2.39474e-111		0.482561
ENSMUST00000052615	914		1.39168e-110		0.6494
ENSMUST00000045897	1192		6.25352e-110		0.584034
ENSMUST00000022808	1030		1.04358e-106		0.611623
ENSMUST00000170136	705		1.63968e-105		0.701493
ENSMUST00000078528	1175		1.20314e-104		0.575642
ENSMUST00000001809	2817		4.70788e-98		0.381091
ENSMUST00000138502	3706		3.9858e-97		0.333761
ENSMUST00000054220	1291		1.54625e-96		0.535115
ENSMUST00000133910	687		2.48872e-96		0.685087
ENSMUST00000084908	691		4.89474e-96		0.682892
ENSMUST00000041466	2492		2.64885e-94		0.395912
ENSMUST00000032309	1862		2.97556e-94		0.451635
ENSMUST00000180036	1044		7.68601e-94		0.577354
ENSMUST00000021674	2108		8.73101e-94		0.42619
ENSMUST00000038169	554		4.71453e-93		0.729334
ENSMUST00000075178	2987		1.63251e-92		-0.360789
ENSMUST00000033342	2514		2.98456e-91		0.388277
ENSMUST00000000090	690		3.16343e-91		0.670382
ENSMUST00000102926	1716		1.32625e-90		0.460024
ENSMUST00000049357	1648		3.81669e-89		0.464913
ENSMUST00000056078	722		3.76803e-87		0.647842
ENSMUST00000030164	3316		4.65377e-87		0.333685
