Per-transcript fragment count rank correlation: rho=0.960582, p=0
Transcript	Length		p-value		rho
ENSMUST00000115797	11325		0		0.362536
ENSMUST00000040202	3853		0		0.643523
ENSMUST00000023673	5777		0		0.52122
ENSMUST00000025337	5596		0		0.50253
ENSMUST00000016771	7433		0		0.502274
ENSMUST00000030187	8393		0		0.453327
ENSMUST00000105682	7728		0		0.517481
ENSMUST00000017637	3831		0		0.579777
ENSMUST00000105786	12299		0		0.359194
ENSMUST00000087328	2926		0		0.661195
ENSMUST00000060366	3530		0		0.747579
ENSMUST00000030623	3465		0		0.638481
ENSMUST00000033761	8138		0		0.431854
ENSMUST00000131252	4353		0		0.639674
ENSMUST00000007980	2678		0		0.73257
ENSMUST00000001455	5401		0		0.53529
ENSMUST00000041558	10608		0		0.364964
ENSMUST00000054960	4530		0		0.580583
ENSMUST00000022529	3225		0		0.623242
ENSMUST00000060805	5105		0		0.515655
ENSMUST00000121285	5922		0		0.532187
ENSMUST00000145664	8187		0		0.488192
ENSMUST00000107094	3189		0		0.671077
ENSMUST00000034279	6708		0		0.478828
ENSMUST00000094681	4728		0		0.51714
ENSMUST00000034707	6354		0		0.556313
ENSMUST00000100539	3983		7.10122e-318		0.552979
ENSMUST00000092404	1899		2.98658e-315		0.729502
ENSMUST00000037748	3878		1.04173e-314		0.556801
ENSMUST00000050063	3730		2.65935e-311		0.563253
