Per-transcript fragment count rank correlation: rho=0.991304, p=0
Transcript	Length		p-value		rho
ENSMUST00000020640	1447		2.09659e-206		0.691589
ENSMUST00000169826	837		8.80283e-194		0.807701
ENSMUST00000082223	2045		3.64732e-184		0.579998
ENSMUST00000080300	683		1.32268e-176		0.832234
ENSMUST00000103146	1059		1.87643e-167		0.716418
ENSMUST00000102536	833		4.82718e-167		0.773916
ENSMUST00000178619	1693		9.98036e-164		0.596548
ENSMUST00000165532	935		2.905e-163		0.74058
ENSMUST00000026901	710		9.20958e-157		0.796366
ENSMUST00000077037	2868		2.44765e-155		0.467012
ENSMUST00000074245	863		1.39534e-144		0.730183
ENSMUST00000150350	1034		2.22623e-142		0.681986
ENSMUST00000059980	584		1.69634e-137		0.810808
ENSMUST00000072429	519		9.12118e-134		0.830965
ENSMUST00000054220	1291		4.44583e-133		0.611197
ENSMUST00000121455	2257		1.68305e-128		0.476847
ENSMUST00000068408	500		1.04505e-125		0.825336
ENSMUST00000035105	1861		6.37415e-122		0.506664
ENSMUST00000090860	922		6.84235e-122		0.671484
ENSMUST00000031617	1270		3.40959e-117		0.58441
ENSMUST00000086519	1358		8.48043e-115		0.563835
ENSMUST00000008036	495		6.10785e-112		0.801035
ENSMUST00000002551	837		1.87702e-110		0.670689
ENSMUST00000081840	517		1.05423e-109		0.786148
ENSMUST00000032998	1908		3.14868e-108		0.475504
ENSMUST00000127405	1042		4.47111e-108		0.61195
ENSMUST00000121367	894		1.7116e-107		0.647774
ENSMUST00000074267	961		4.71064e-107		0.62916
ENSMUST00000118928	1365		5.40077e-107		0.546204
ENSMUST00000135573	2294		1.26913e-106		0.435147
