Per-transcript fragment count rank correlation: rho=0.971677, p=0
Transcript	Length		p-value		rho
ENSMUST00000020640	1447		5.75926e-217		0.703953
ENSMUST00000114459	4086		1.80589e-215		0.462244
ENSMUST00000067925	2692		3.51487e-206		0.542828
ENSMUST00000082223	2045		9.03391e-206		0.60656
ENSMUST00000030623	3465		9.53292e-182		0.460803
ENSMUST00000005705	3245		2.12653e-178		0.470428
ENSMUST00000169826	837		2.471e-164		0.768848
ENSMUST00000178619	1693		6.07536e-162		0.593915
ENSMUST00000103146	1059		2.47822e-161		0.707186
ENSMUST00000037748	3878		1.08315e-155		0.408258
ENSMUST00000080300	683		3.61095e-155		0.802932
ENSMUST00000077037	2868		6.75958e-152		0.462353
ENSMUST00000150350	1034		1.13661e-145		0.687674
ENSMUST00000059980	584		1.47251e-142		0.819053
ENSMUST00000068408	500		2.71128e-140		0.849339
ENSMUST00000026901	710		2.76173e-140		0.769971
ENSMUST00000102536	833		2.76709e-139		0.729603
ENSMUST00000086519	1358		1.11953e-124		0.583423
ENSMUST00000165532	935		4.73051e-124		0.67242
ENSMUST00000095228	2071		7.18306e-124		0.487125
ENSMUST00000020637	3779		1.00617e-122		0.369706
ENSMUST00000072429	519		1.0657e-122		0.81146
ENSMUST00000008036	495		1.81658e-121		0.81984
ENSMUST00000067664	2100		2.71036e-121		0.47968
ENSMUST00000035105	1861		9.19521e-121		0.504553
ENSMUST00000074245	863		4.62881e-118		0.679786
ENSMUST00000135573	2294		5.05826e-116		0.452209
ENSMUST00000032998	1908		2.52101e-114		0.487238
ENSMUST00000031617	1270		3.41729e-114		0.578213
ENSMUST00000071991	619		7.99299e-113		0.749935
