Per-transcript fragment count rank correlation: rho=0.992431, p=0
Transcript	Length		p-value		rho
ENST00000231061	3701		0		0.665978
ENST00000509187	1126		0		0.857397
ENST00000392514	1218		0		0.885959
ENST00000454224	8839		0		0.418263
ENST00000314138	4916		0		0.719809
ENST00000316403	3080		0		0.705524
ENST00000473595	2845		0		0.719062
ENST00000519807	1826		0		0.843218
ENST00000309311	3157		0		0.852613
ENST00000401695	1599		0		0.88369
ENST00000440692	2814		0		0.832065
ENST00000534336	8708		0		0.697791
ENST00000533626	7540		0		0.547386
ENST00000450451	3127		0		0.757558
ENST00000440909	3144		0		0.758266
ENST00000370355	5362		0		0.547147
ENST00000225655	1291		0		0.887304
ENST00000322723	4034		0		0.727327
ENST00000473204	2370		0		0.702768
ENST00000551509	7061		0		0.513938
ENST00000501122	22743		0		0.68428
ENST00000394670	13781		0		0.333768
ENST00000361899	681		0		0.96933
ENST00000445172	735		0		0.936044
ENST00000526148	4001		0		0.546422
ENST00000396651	881		0		0.915526
ENST00000273550	1229		0		0.86944
ENST00000391975	6372		0		0.521097
ENST00000291568	2163		0		0.729151
ENST00000318607	3485		0		0.767946
