Per-transcript fragment count rank correlation: rho=0.960138, p=0
Transcript	Length		p-value		rho
FBtr0114268	6026		0		0.552657
FBtr0114192	1944		1.73145e-314		0.723188
FBtr0114283	1005		1.56307e-190		0.760797
FBtr0100888	1325		9.28879e-176		0.673368
FBtr0082369	846		2.68174e-173		0.779036
FBtr0114256	1052		1.33368e-167		0.718262
FBtr0089188	10281		1.23748e-156		0.258518
FBtr0114259	1975		1.10828e-154		0.547215
FBtr0070524	1540		4.80802e-142		0.584933
FBtr0079233	1315		2.39502e-140		0.61973
FBtr0080306	755		1.67834e-131		0.739389
FBtr0112357	533		4.26991e-125		0.809858
FBtr0114250	618		1.44041e-117		0.760394
FBtr0089746	2223		1.16692e-115		0.457927
FBtr0076479	637		9.62038e-110		0.736149
FBtr0088007	756		1.66944e-106		0.686638
FBtr0078218	1335		2.83232e-106		0.549712
FBtr0114193	2391		4.82244e-105		0.424174
FBtr0114280	575		1.88418e-104		0.748855
FBtr0100231	313		9.47146e-103		0.880337
FBtr0071304	877		2.76838e-102		0.640141
FBtr0300946	2384		2.43228e-100		0.415849
FBtr0084932	846		6.41299e-96		0.632997
FBtr0086152	2978		1.16414e-95		0.367083
FBtr0082344	1030		1.60137e-95		0.584787
FBtr0088744	690		1.7051e-95		0.681832
FBtr0081071	520		2.39911e-95		0.750781
FBtr0075665	543		8.02301e-94		0.736279
FBtr0114261	1994		9.31682e-92		0.432644
FBtr0086812	897		3.71291e-91		0.606345
