Per-transcript fragment count rank correlation: rho=0.984893, p=0
Transcript	Length		p-value		rho
FBtr0114192	1944		4.806e-174		0.578483
FBtr0114219	1032		1.09717e-157		0.707855
FBtr0114273	1460		8.3591e-137		0.58854
FBtr0080306	755		2.43756e-133		0.742803
FBtr0082369	846		7.24648e-126		0.700649
FBtr0112357	533		5.4418e-121		0.802128
FBtr0076479	637		5.71567e-107		0.729808
FBtr0100231	313		1.55406e-105		0.885481
FBtr0114275	1266		6.98078e-101		0.549737
FBtr0071304	877		1.69962e-97		0.628286
FBtr0114277	951		1.29438e-91		0.593611
FBtr0114268	6026		1.89834e-88		0.252717
FBtr0307366	249		1.76282e-87		0.892714
FBtr0114221	561		1.73029e-86		0.707983
FBtr0088744	690		1.63992e-83		0.648298
FBtr0072185	289		9.54573e-80		0.844316
FBtr0114281	507		3.02221e-78		0.707779
FBtr0081071	520		1.02829e-77		0.699829
FBtr0300628	327		2.6016e-77		0.809974
FBtr0075665	543		1.56205e-76		0.685306
FBtr0076095	321		2.61793e-76		0.811169
FBtr0079713	353		8.38147e-73		0.777873
FBtr0085961	649		1.53019e-71		0.62474
FBtr0081624	299		7.36795e-70		0.806845
FBtr0088007	756		1.00777e-68		0.578441
FBtr0079546	454		3.18986e-68		0.7005
FBtr0302398	299		5.61675e-68		0.800427
FBtr0077863	350		6.06326e-67		0.759421
FBtr0114286	752		4.83447e-63		0.559049
FBtr0074731	743		6.39643e-63		0.561377
