Per-transcript fragment count rank correlation: rho=0.994054, p=0
Transcript	Length		p-value		rho
ENST00000586686	1082		0		0.917667
ENST00000231061	3701		0		0.690255
ENST00000392514	1218		0		0.907016
ENST00000543796	2661		0		0.677156
ENST00000245907	5101		0		0.543133
ENST00000314138	4916		0		0.717655
ENST00000262056	4148		0		0.539966
ENST00000316403	3080		0		0.763387
ENST00000473595	2845		0		0.782954
ENST00000519807	1826		0		0.842313
ENST00000406925	4777		0		0.567361
ENST00000309311	3157		0		0.879389
ENST00000320857	1671		0		0.787922
ENST00000401695	1599		0		0.874618
ENST00000440692	2814		0		0.862382
ENST00000534336	8708		0		0.748869
ENST00000533626	7540		0		0.586861
ENST00000450451	3127		0		0.845525
ENST00000440909	3144		0		0.818134
ENST00000370355	5362		0		0.599178
ENST00000225655	1291		0		0.89269
ENST00000322723	4034		0		0.768615
ENST00000551509	7061		0		0.530296
ENST00000501122	22743		0		0.707926
ENST00000394670	13781		0		0.361613
ENST00000361899	681		0		0.981676
ENST00000342160	14796		0		0.338803
ENST00000302516	6969		0		0.444293
ENST00000526148	4001		0		0.609922
ENST00000396651	881		0		0.93852
