Per-transcript fragment count rank correlation: rho=0.993819, p=0
Transcript	Length		p-value		rho
ENST00000231061	3701		0		0.695986
ENST00000392514	1218		0		0.906532
ENST00000245907	5101		0		0.507955
ENST00000454224	8839		0		0.467003
ENST00000314138	4916		0		0.694542
ENST00000316403	3080		0		0.763941
ENST00000473595	2845		0		0.772928
ENST00000519807	1826		0		0.846848
ENST00000406925	4777		0		0.547066
ENST00000415930	4000		0		0.6988
ENST00000309311	3157		0		0.869848
ENST00000320857	1671		0		0.781411
ENST00000401695	1599		0		0.877695
ENST00000440692	2814		0		0.850092
ENST00000534336	8708		0		0.734364
ENST00000322753	3712		0		0.593434
ENST00000450451	3127		0		0.835237
ENST00000440909	3144		0		0.800954
ENST00000370355	5362		0		0.581103
ENST00000225655	1291		0		0.901725
ENST00000322723	4034		0		0.789228
ENST00000551509	7061		0		0.495891
ENST00000501122	22743		0		0.703159
ENST00000394670	13781		0		0.343917
ENST00000361899	681		0		0.979128
ENST00000445172	735		0		0.999986
ENST00000526148	4001		0		0.609025
ENST00000396651	881		0		0.939105
ENST00000273550	1229		0		0.891289
ENST00000391975	6372		0		0.559281
