Per-transcript fragment count rank correlation: rho=0.99384, p=0
Transcript	Length		p-value		rho
ENSMUST00000121455	2257		1.1814e-277		0.655819
ENSMUST00000082223	2045		3.02358e-248		0.652369
ENSMUST00000084806	14072		3.69499e-201		0.251027
ENSMUST00000020640	1447		1.05781e-193		0.675839
ENSMUST00000176742	2831		1.0198e-180		0.502117
ENSMUST00000176760	2427		2.81269e-180		0.5356
ENSMUST00000090779	2956		5.20796e-169		0.478475
ENSMUST00000127405	1042		2.62732e-161		0.711121
ENSMUST00000079464	2053		5.17853e-159		0.544756
ENSMUST00000073950	2111		5.56848e-156		0.534046
ENSMUST00000087714	776		9.35019e-155		0.772427
ENSMUST00000051522	1392		7.68455e-154		0.628436
ENSMUST00000089377	800		7.3603e-153		0.762178
ENSMUST00000091749	2121		2.10546e-152		0.527722
ENSMUST00000105107	836		2.10573e-152		0.750851
ENSMUST00000018246	736		2.33793e-147		0.773243
ENSMUST00000102977	537		3.15922e-145		0.84158
ENSMUST00000121367	894		6.64716e-145		0.722102
ENSMUST00000080300	683		1.05083e-142		0.783252
ENSMUST00000169826	837		3.78688e-142		0.733459
ENSMUST00000180288	1256		2.82339e-140		0.630712
ENSMUST00000170136	705		1.31461e-134		0.761667
ENSMUST00000103146	1059		9.2874e-134		0.660586
ENSMUST00000035105	1861		2.32694e-132		0.525027
ENSMUST00000074072	459		3.38224e-132		0.854682
ENSMUST00000102536	833		2.86527e-131		0.714915
ENSMUST00000079251	618		6.59304e-131		0.786252
ENSMUST00000026901	710		1.0339e-130		0.75281
ENSMUST00000151287	2446		5.63451e-129		0.460995
ENSMUST00000079755	1265		2.24439e-128		0.60733
