Per-transcript fragment count rank correlation: rho=0.991311, p=0
Transcript	Length		p-value		rho
ENSMUST00000090779	2956		0		0.634221
ENSMUST00000114459	4086		0		0.545579
ENSMUST00000082223	2045		7.48852e-317		0.712634
ENSMUST00000045301	3821		1.12074e-300		0.54967
ENSMUST00000020637	3779		5.41631e-294		0.547028
ENSMUST00000166984	6491		9.04565e-290		0.429549
ENSMUST00000007980	2678		4.68468e-289		0.624074
ENSMUST00000042990	6685		1.26395e-276		0.414982
ENSMUST00000037748	3878		6.76518e-273		0.524316
ENSMUST00000100206	6523		8.06756e-266		0.412045
ENSMUST00000017851	3683		1.47046e-255		0.521088
ENSMUST00000028607	6169		7.16436e-249		0.410059
ENSMUST00000020640	1447		4.85322e-236		0.724764
ENSMUST00000060077	3186		1.93773e-234		0.534038
ENSMUST00000052838	10231		6.721e-219		0.304803
ENSMUST00000030623	3465		2.73188e-216		0.497664
ENSMUST00000043269	2676		9.02529e-216		0.554666
ENSMUST00000019615	2456		7.25037e-212		0.57025
ENSMUST00000176760	2427		2.38192e-210		0.571329
ENSMUST00000000137	3631		2.07416e-207		0.478728
ENSMUST00000176742	2831		2.27583e-206		0.531675
ENSMUST00000177796	1825		6.21002e-203		0.630608
ENSMUST00000109401	8453		4.08833e-202		0.321198
ENSMUST00000105105	1249		1.10907e-201		0.721974
ENSMUST00000166897	3778		1.26203e-201		0.464566
ENSMUST00000069221	6720		1.16129e-199		0.355731
ENSMUST00000032138	2178		1.50257e-196		0.580636
ENSMUST00000069168	6526		4.80461e-193		0.354941
ENSMUST00000025955	5176		2.07236e-191		0.393616
ENSMUST00000005003	3551		4.54551e-191		0.466138
