Per-transcript fragment count rank correlation: rho=0.992656, p=0
Transcript	Length		p-value		rho
ENST00000231061	3701		0		0.651469
ENST00000392514	1218		0		0.89639
ENST00000314138	4916		0		0.695567
ENST00000316403	3080		0		0.727288
ENST00000473595	2845		0		0.821433
ENST00000519807	1826		0		0.82933
ENST00000406925	4777		0		0.523291
ENST00000309311	3157		0		0.865618
ENST00000401695	1599		0		0.880963
ENST00000440692	2814		0		0.862742
ENST00000534336	8708		0		0.700176
ENST00000533626	7540		0		0.542346
ENST00000455134	1003		0		0.900158
ENST00000450451	3127		0		0.867523
ENST00000440909	3144		0		0.787609
ENST00000370355	5362		0		0.560627
ENST00000225655	1291		0		0.884911
ENST00000322723	4034		0		0.747571
ENST00000551509	7061		0		0.524433
ENST00000501122	22743		0		0.676559
ENST00000394670	13781		0		0.323841
ENST00000361899	681		0		0.972561
ENST00000342160	14796		0		0.31324
ENST00000445817	1971		0		0.749347
ENST00000396651	881		0		0.918747
ENST00000273550	1229		0		0.885959
ENST00000391975	6372		0		0.516045
ENST00000291568	2163		0		0.724851
ENST00000318607	3485		0		0.776805
ENST00000449131	4267		0		0.801959
