Per-transcript fragment count rank correlation: rho=0.982224, p=0
Transcript	Length		p-value		rho
ENST00000318607	3485		9.05099e-155		0.427378
ENST00000380394	1387		8.83304e-113		0.554798
ENST00000496634	5064		1.93543e-107		0.302219
ENST00000582471	3087		2.67966e-107		0.381132
ENST00000414273	1543		1.09088e-105		0.515913
ENST00000394332	625		2.54342e-101		0.72098
ENST00000543796	2661		1.89996e-94		0.384409
ENST00000330597	808		1.3239e-91		0.63278
ENST00000273550	1229		5.84146e-90		0.530015
ENST00000361335	297		1.47503e-89		0.863194
ENST00000354667	3664		7.08684e-87		0.317983
ENST00000253024	2959		1.95738e-85		0.348869
ENST00000251453	585		3.50304e-83		0.687883
ENST00000409028	998		1.69401e-82		0.557273
ENST00000248566	807		2.17619e-73		0.578901
ENST00000546176	306		5.27985e-72		0.808601
ENST00000558815	616		6.59503e-72		0.638696
ENST00000449131	4267		1.39446e-71		0.268902
ENST00000316084	1526		1.36954e-70		0.432508
ENST00000361227	346		1.64815e-69		0.771399
ENST00000318333	959		3.87409e-68		0.521987
ENST00000247655	666		4.10153e-68		0.606384
ENST00000394878	954		5.82078e-68		0.522557
ENST00000394667	441		8.56732e-68		0.706072
ENST00000304043	1081		7.82645e-67		0.491542
ENST00000457540	1044		5.62584e-66		0.496173
ENST00000331789	1917		1.34512e-65		0.37647
ENST00000400448	1538		8.74676e-65		0.414117
ENST00000313899	3033		1.28778e-64		0.301146
ENST00000361624	1542		1.12967e-63		0.410289
