Per-transcript fragment count rank correlation: rho=0.990084, p=0
Transcript	Length		p-value		rho
ENST00000394332	625		5.83838e-131		0.783701
ENST00000260379	919		1.31963e-115		0.659104
ENST00000558815	616		1.07903e-114		0.755135
ENST00000582471	3087		2.13195e-104		0.376244
ENST00000380394	1387		3.79097e-101		0.529671
ENST00000330597	808		7.84717e-99		0.651631
ENST00000414273	1543		1.57052e-93		0.488943
ENST00000457540	1044		5.09732e-84		0.551202
ENST00000409028	998		4.51736e-80		0.550267
ENST00000316084	1526		1.45643e-78		0.454273
ENST00000361335	297		5.50917e-76		0.827671
ENST00000546176	306		3.14569e-73		0.81252
ENST00000401695	1599		9.43204e-73		0.429435
ENST00000531188	2097		1.08175e-72		0.379209
ENST00000394878	954		1.43976e-72		0.537627
ENST00000361227	346		1.73357e-68		0.767782
ENST00000258424	712		4.69121e-66		0.583008
ENST00000496634	5064		4.36918e-64		0.234257
ENST00000394667	441		4.37474e-64		0.691878
ENST00000358435	778		1.66087e-62		0.549211
ENST00000586686	1082		1.34513e-60		0.470152
ENST00000247655	666		3.61413e-59		0.572144
ENST00000222247	618		3.70818e-59		0.589726
ENST00000426559	948		3.41651e-57		0.485399
ENST00000314133	507		8.27878e-56		0.622857
ENST00000363046	264		8.50547e-56		0.782327
ENST00000414487	942		1.75921e-55		0.480124
ENST00000535042	921		1.05961e-54		0.4818
ENST00000368567	350		1.94815e-54		0.707625
ENST00000361739	684		2.39965e-52		0.536965
