Per-transcript fragment count rank correlation: rho=0.993967, p=0
Transcript	Length		p-value		rho
ENST00000586686	1082		0		0.906919
ENST00000231061	3701		0		0.69525
ENST00000392514	1218		0		0.911644
ENST00000543796	2661		0		0.659331
ENST00000245907	5101		0		0.537616
ENST00000454224	8839		0		0.396083
ENST00000539977	1875		0		0.750834
ENST00000314138	4916		0		0.692429
ENST00000316403	3080		0		0.763839
ENST00000473595	2845		0		0.796604
ENST00000519807	1826		0		0.844726
ENST00000406925	4777		0		0.521982
ENST00000309311	3157		0		0.875317
ENST00000320857	1671		0		0.786211
ENST00000401695	1599		0		0.88671
ENST00000440692	2814		0		0.854027
ENST00000534336	8708		0		0.742547
ENST00000322753	3712		0		0.575222
ENST00000450451	3127		0		0.790834
ENST00000440909	3144		0		0.804523
ENST00000370355	5362		0		0.60065
ENST00000225655	1291		0		0.903044
ENST00000322723	4034		0		0.77294
ENST00000336023	1627		0		0.791004
ENST00000551509	7061		0		0.532884
ENST00000501122	22743		0		0.696783
ENST00000394670	13781		0		0.360301
ENST00000361899	681		0		0.97612
ENST00000342160	14796		0		0.320724
ENST00000228318	1678		0		0.775562
