Per-transcript fragment count rank correlation: rho=0.992397, p=0
Transcript	Length		p-value		rho
ENST00000380394	1387		1.96077e-264		0.762726
ENST00000558401	1715		7.73698e-245		0.692126
ENST00000531188	2097		2.00137e-237		0.635308
ENST00000394332	625		1.26221e-203		0.880023
ENST00000316084	1526		5.72985e-189		0.656676
ENST00000401695	1599		2.20578e-152		0.592864
ENST00000260379	919		4.65304e-150		0.724003
ENST00000586686	1082		6.71205e-148		0.680292
ENST00000558815	616		1.60058e-143		0.808529
ENST00000496634	5064		1.68642e-130		0.331915
ENST00000361739	684		1.8678e-129		0.759445
ENST00000457540	1044		1.78592e-128		0.654078
ENST00000550952	2922		3.72642e-122		-0.415206
ENST00000311528	2211		1.46462e-120		0.467672
ENST00000514057	681		5.11049e-120		0.741974
ENST00000469257	2330		6.18945e-116		0.448926
ENST00000222247	618		4.08229e-115		0.755251
ENST00000307961	2767		6.88582e-113		0.410384
ENST00000409028	998		2.19767e-111		0.629767
ENST00000254810	2705		4.03883e-110		0.4099
ENST00000400448	1538		8.57037e-106		0.516851
ENST00000503537	1389		4.24923e-103		0.533711
ENST00000358435	778		4.39474e-103		0.671421
ENST00000427721	1136		1.59293e-102		0.578673
ENST00000389680	954		7.16764e-98		0.608922
ENST00000262306	582		5.08673e-97		0.72765
ENST00000267884	1077		8.52334e-97		0.577459
ENST00000361227	346		1.58891e-96		0.84723
ENST00000429711	2117		2.56926e-96		0.430618
ENST00000420826	1463		1.33099e-89		0.490966
