Per-transcript fragment count rank correlation: rho=0.994348, p=0
Transcript	Length		p-value		rho
ENSMUST00000077037	2868		1.97626e-323		0.634897
ENSMUST00000089377	800		5.57803e-242		0.865646
ENSMUST00000120233	2406		2.26068e-200		0.561958
ENSMUST00000020640	1447		2.6359e-192		0.674045
ENSMUST00000026901	710		8.69813e-186		0.83492
ENSMUST00000166658	1062		3.23134e-181		0.73522
ENSMUST00000080300	683		7.58376e-178		0.833776
ENSMUST00000005292	1500		2.00025e-174		0.641124
ENSMUST00000163460	1178		8.44753e-165		0.686287
ENSMUST00000170136	705		2.36423e-162		0.806137
ENSMUST00000133910	687		1.11978e-158		0.806766
ENSMUST00000082223	2045		1.94826e-158		0.54481
ENSMUST00000054220	1291		2.20349e-158		0.65395
ENSMUST00000132253	1144		8.24299e-158		0.682718
ENSMUST00000090860	922		2.44631e-156		0.733329
ENSMUST00000022704	1773		3.0626e-155		0.57297
ENSMUST00000028005	1097		6.04595e-155		0.68848
ENSMUST00000072429	519		1.61268e-154		0.861801
ENSMUST00000035105	1861		6.59521e-154		0.559693
ENSMUST00000085679	3105		1.86937e-153		0.448374
ENSMUST00000119383	555		3.05258e-152		0.844709
ENSMUST00000169826	837		7.86144e-150		0.746399
ENSMUST00000150350	1034		2.27029e-149		0.693915
ENSMUST00000004784	2460		3.32702e-148		0.489191
ENSMUST00000074072	459		1.04055e-146		0.875856
ENSMUST00000165532	935		2.4283e-146		0.713557
ENSMUST00000059980	584		1.56859e-141		0.817413
ENSMUST00000102536	833		6.10912e-140		0.730764
ENSMUST00000178619	1693		1.8533e-139		0.558491
ENSMUST00000079755	1265		2.60065e-138		0.625522
