Per-transcript fragment count rank correlation: rho=0.870795, p=0
Transcript	Length		p-value		rho
FBtr0114192	1944		4.78097e-293		0.705786
FBtr0088744	690		6.6293e-237		0.890042
FBtr0088743	519		5.4408e-181		0.892593
FBtr0088763	535		8.89069e-160		0.862489
FBtr0077040	915		2.43994e-153		0.730412
FBtr0071304	877		2.99698e-147		0.730768
FBtr0112357	533		1.88233e-145		0.843515
FBtr0076095	321		1.30589e-123		0.909455
FBtr0080306	755		2.83474e-123		0.723415
FBtr0114277	951		2.46352e-121		0.66274
FBtr0077038	894		3.35499e-119		0.673502
FBtr0085462	557		4.89499e-112		0.773571
FBtr0114268	6026		1.23211e-106		0.277063
FBtr0079056	817		1.61182e-104		0.662856
FBtr0076389	898		8.18933e-101		0.630801
FBtr0088007	756		2.05722e-100		0.671916
FBtr0076096	1110		3.9526e-100		0.578464
FBtr0077041	868		1.30129e-98		0.633602
FBtr0076479	637		5.73343e-98		0.707911
FBtr0082369	846		2.87545e-92		0.623415
FBtr0076160	359		2.7572e-90		0.824464
FBtr0079808	916		5.05164e-90		0.598287
FBtr0100321	714		2.5155e-89		0.656721
FBtr0087105	599		6.16603e-88		0.696005
FBtr0088761	547		4.90715e-84		0.706993
FBtr0085652	939		1.37041e-83		0.574556
FBtr0079016	508		2.13637e-83		0.723263
FBtr0112420	487		6.72727e-83		0.732109
FBtr0300627	344		3.3855e-82		0.812622
FBtr0074027	864		4.69098e-81		0.586751
