Per-transcript fragment count rank correlation: rho=0.959594, p=0
Transcript	Length		p-value		rho
FBtr0088744	690		5.03351e-256		0.903954
FBtr0114192	1944		2.09665e-219		0.634382
FBtr0088743	519		1.56299e-182		0.894144
FBtr0077040	915		4.8846e-155		0.733129
FBtr0088763	535		4.44184e-152		0.852224
FBtr0071304	877		1.70104e-146		0.7295
FBtr0112357	533		2.70588e-144		0.841789
FBtr0076095	321		5.89554e-127		0.913922
FBtr0076096	1110		7.95939e-119		0.619912
FBtr0085462	557		8.55798e-114		0.777315
FBtr0114277	951		1.54449e-110		0.639612
FBtr0080306	755		2.02656e-108		0.69142
FBtr0077038	894		5.67172e-107		0.646569
FBtr0079056	817		2.8094e-103		0.659877
FBtr0088007	756		4.12211e-98		0.666121
FBtr0076479	637		4.50897e-98		0.708177
FBtr0076389	898		9.05226e-96		0.618164
FBtr0076160	359		3.67366e-92		0.829088
FBtr0077041	868		2.14708e-87		0.60393
FBtr0300627	344		6.73738e-86		0.822705
FBtr0079016	508		1.12868e-84		0.727056
FBtr0087105	599		7.07593e-84		0.684143
FBtr0082369	846		7.59345e-83		0.597043
FBtr0100321	714		1.30121e-80		0.63117
FBtr0112420	487		6.19986e-80		0.723022
FBtr0085652	939		1.4063e-78		0.559865
FBtr0088761	547		2.45672e-76		0.68285
FBtr0079808	916		4.80438e-75		0.554736
FBtr0074027	864		1.06624e-73		0.563963
FBtr0306645	756		3.14432e-70		0.58367
