Per-transcript fragment count rank correlation: rho=0.977767, p=0
Transcript	Length		p-value		rho
FBtr0100888	1325		2.44228e-284		0.790798
FBtr0082369	846		2.52278e-121		0.691485
FBtr0088007	756		2.2463e-114		0.704446
FBtr0080524	813		8.25255e-108		0.671796
FBtr0076479	637		1.25418e-106		0.729015
FBtr0074731	743		2.16896e-106		0.690642
FBtr0074027	864		3.2843e-102		0.643604
FBtr0072924	1118		4.48336e-99		0.574255
FBtr0082347	715		7.26115e-98		0.679208
FBtr0083060	2339		4.07436e-96		0.411188
FBtr0086738	3090		1.52356e-91		0.353342
FBtr0078769	680		7.40513e-89		0.667385
FBtr0078705	742		3.89545e-88		0.643964
FBtr0100663	1928		1.40434e-86		0.42767
FBtr0084410	903		7.04898e-85		0.587433
FBtr0100231	313		2.9268e-83		0.836549
FBtr0081090	661		1.01294e-82		0.65644
FBtr0085961	649		2.67784e-82		0.659655
FBtr0071897	544		1.35861e-80		0.69785
FBtr0087575	726		3.70916e-80		0.625723
FBtr0082344	1030		4.25006e-77		0.534309
FBtr0079546	454		4.83152e-77		0.731014
FBtr0070982	1065		6.7431e-76		0.523233
FBtr0072174	729		1.91935e-74		0.606513
FBtr0084932	846		3.62072e-70		0.557206
FBtr0071935	645		6.62863e-70		0.620504
FBtr0075066	685		7.52996e-70		0.605818
FBtr0076633	623		3.1038e-69		0.626521
FBtr0076892	731		8.03585e-69		0.586717
FBtr0079016	508		9.88292e-69		0.674658
