Per-transcript fragment count rank correlation: rho=0.989804, p=0
Transcript	Length		p-value		rho
FBtr0082369	846		5.4699e-111		0.669267
FBtr0076479	637		1.07065e-87		0.680167
FBtr0088007	756		2.31277e-82		0.622624
FBtr0082347	715		6.03323e-76		0.616089
FBtr0082344	1030		4.86048e-75		0.528095
FBtr0100231	313		2.89358e-74		0.810626
FBtr0080524	813		1.21411e-68		0.561198
FBtr0085961	649		2.61317e-67		0.609672
FBtr0079546	454		2.29413e-66		0.693539
FBtr0074027	864		2.70392e-65		0.535559
FBtr0071897	544		2.34826e-63		0.637397
FBtr0072174	729		4.63361e-63		0.566323
FBtr0078769	680		7.41422e-62		0.577969
FBtr0074731	743		7.96728e-62		0.557207
FBtr0084410	903		8.46078e-60		0.505721
FBtr0072185	289		9.09825e-60		0.777547
FBtr0304693	687		3.06763e-59		0.565192
FBtr0072924	1118		5.47896e-57		0.450547
FBtr0078705	742		1.17032e-56		0.537007
FBtr0084932	846		3.1781e-56		0.506103
FBtr0100868	789		3.9959e-56		0.521056
FBtr0087575	726		2.3072e-54		0.532316
FBtr0100541	608		8.9273e-54		0.570453
FBtr0071935	645		2.77871e-52		0.550052
FBtr0073792	686		6.25325e-49		0.520684
FBtr0076425	706		4.40607e-48		0.510347
FBtr0071855	579		2.37799e-47		0.551335
FBtr0087105	599		6.44754e-47		0.5414
FBtr0076633	623		7.99066e-47		0.532046
FBtr0079016	508		5.87358e-46		0.574545
