Per-transcript fragment count rank correlation: rho=0.987117, p=0
Transcript	Length		p-value		rho
ENSMUST00000032309	1862		6.92354e-222		0.647634
ENSMUST00000150350	1034		1.97539e-217		0.78564
ENSMUST00000053015	1673		1.03395e-206		0.656332
ENSMUST00000022808	1030		1.28006e-167		0.723464
ENSMUST00000102926	1716		2.02203e-157		0.583948
ENSMUST00000092404	1899		1.83583e-142		0.537212
ENSMUST00000065668	1293		3.18454e-142		0.627059
ENSMUST00000170136	705		2.97615e-139		0.769875
ENSMUST00000080178	3019		5.09772e-139		0.434135
ENSMUST00000070124	1041		5.47813e-138		0.672532
ENSMUST00000035560	1488		4.9016e-135		0.580951
ENSMUST00000056078	722		1.98277e-134		0.755612
ENSMUST00000084908	691		4.00768e-132		0.761958
ENSMUST00000037399	1028		9.07792e-129		0.658428
ENSMUST00000005017	2245		9.42115e-128		0.476723
ENSMUST00000018437	861		7.97684e-127		0.698216
ENSMUST00000021522	930		1.20527e-126		0.678895
ENSMUST00000052615	914		1.16735e-120		0.671095
ENSMUST00000025563	866		1.80582e-120		0.683971
ENSMUST00000078528	1175		6.89786e-120		0.608392
ENSMUST00000041466	2492		7.11996e-120		0.442297
ENSMUST00000033880	981		7.54393e-119		0.64999
ENSMUST00000025864	1126		1.63846e-117		0.613745
ENSMUST00000045897	1192		5.26105e-117		0.599053
ENSMUST00000034279	6708		5.65849e-116		0.274175
ENSMUST00000033342	2514		1.89054e-113		0.429604
ENSMUST00000001809	2817		2.17271e-110		0.402833
ENSMUST00000007980	2678		1.64647e-109		0.410719
ENSMUST00000040154	571		3.73499e-109		0.761319
ENSMUST00000042405	1159		1.3136e-107		0.585539
