Per-transcript fragment count rank correlation: rho=0.888508, p=0
Transcript	Length		p-value		rho
ENSMUST00000054979	8323		0		0.413171
ENSMUST00000027290	6546		0		0.513089
ENSMUST00000100986	5539		0		0.482229
ENSMUST00000034707	6354		0		0.533337
ENSMUST00000032561	2215		0		0.731045
ENSMUST00000139075	4508		0		0.569265
ENSMUST00000161779	7684		0		0.540784
ENSMUST00000048263	6351		0		0.510336
ENSMUST00000019276	3665		0		0.583703
ENSMUST00000025375	4152		0		0.557597
ENSMUST00000025083	6032		0		0.481873
ENSMUST00000093820	7988		0		0.430081
ENSMUST00000055947	3318		0		0.600763
ENSMUST00000035010	4195		0		0.634882
ENSMUST00000023673	5777		0		0.548584
ENSMUST00000058550	2804		0		0.66787
ENSMUST00000119944	4743		0		0.510261
ENSMUST00000021201	7946		0		0.507424
ENSMUST00000098789	6049		0		0.529674
ENSMUST00000055242	4130		0		0.560002
ENSMUST00000021692	2662		0		0.721344
ENSMUST00000080178	3019		0		0.666535
ENSMUST00000003870	5156		0		0.494136
ENSMUST00000016771	7433		0		0.431673
ENSMUST00000030367	3195		0		0.651022
ENSMUST00000049744	2672		0		0.67399
ENSMUST00000001809	2817		0		0.650893
ENSMUST00000069221	6720		0		0.533684
ENSMUST00000029353	8819		0		0.422362
ENSMUST00000036497	3378		0		0.686614
